,Images,Max_Probs,Confidence
0,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\0.jpg,0.9978263,Bread
1,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\1.jpg,1.0,Bread
2,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\10.jpg,0.9999777,Bread
3,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\100.jpg,0.99999356,Bread
4,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\101.jpg,0.99999654,Bread
5,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\102.jpg,0.9999759,Bread
6,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\103.jpg,0.9999981,Bread
7,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\104.jpg,0.99999917,Bread
8,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\105.jpg,0.9998617,Bread
9,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\106.jpg,0.5374556,Noodles
10,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\107.jpg,1.0,Bread
11,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\108.jpg,0.6080094,Bread
12,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\109.jpg,1.0,Bread
13,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\11.jpg,0.9998215,Bread
14,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\110.jpg,0.62238055,Bread
15,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\111.jpg,0.9995497,Bread
16,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\112.jpg,0.9999689,Bread
17,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\113.jpg,0.9999924,Bread
18,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\114.jpg,0.999699,Bread
19,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\115.jpg,0.9997471,Bread
20,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\116.jpg,0.9994754,Bread
21,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\117.jpg,0.9999242,Bread
22,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\118.jpg,0.9849585,Bread
23,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\119.jpg,0.99992216,Bread
24,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\12.jpg,0.97340924,Bread
25,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\120.jpg,0.97834384,Bread
26,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\121.jpg,0.99915457,Bread
27,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\122.jpg,0.99839824,Bread
28,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\123.jpg,0.9999628,Bread
29,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\124.jpg,0.9597318,Fried
30,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\125.jpg,0.9998584,Bread
31,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\126.jpg,1.0,Bread
32,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Bread\127.jpg,0.99999094,Bread
