,Images,Max_Probs,Confidence
0,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\0.jpg,0.999775,Noodles
1,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\1.jpg,0.9999994,Noodles
2,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\10.jpg,0.9998185,Noodles
3,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\100.jpg,0.9999914,Noodles
4,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\101.jpg,1.0,Noodles
5,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\102.jpg,0.99999535,Noodles
6,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\103.jpg,0.99999666,Noodles
7,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\104.jpg,0.9997452,Noodles
8,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\105.jpg,1.0,Noodles
9,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\106.jpg,0.999736,Noodles
10,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\107.jpg,0.9999988,Noodles
11,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\108.jpg,0.999574,Noodles
12,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\109.jpg,0.9840523,Noodles
13,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\11.jpg,0.99193364,Noodles
14,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\110.jpg,0.99999905,Noodles
15,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\111.jpg,1.0,Noodles
16,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\112.jpg,0.99902606,Noodles
17,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\113.jpg,0.9999999,Noodles
18,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\114.jpg,0.99999714,Noodles
19,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\115.jpg,0.99999034,Noodles
20,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\116.jpg,0.9980763,Noodles
21,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\117.jpg,0.999524,Noodles
22,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\118.jpg,0.9998683,Noodles
23,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\119.jpg,0.99999547,Noodles
24,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\12.jpg,0.7626494,Noodles
25,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\120.jpg,0.99985814,Noodles
26,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\121.jpg,0.999998,Noodles
27,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\122.jpg,0.9957527,Noodles
28,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\123.jpg,0.99988675,Noodles
29,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\124.jpg,0.76063395,Noodles
30,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\125.jpg,0.99999964,Noodles
31,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\126.jpg,0.9132912,Noodles
32,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\127.jpg,0.9998833,Noodles
33,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\128.jpg,0.9998951,Noodles
34,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\129.jpg,0.9999999,Noodles
35,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\13.jpg,0.9760711,Noodles
36,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\130.jpg,0.9998468,Noodles
37,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\131.jpg,0.99986875,Noodles
38,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\132.jpg,0.99999416,Noodles
39,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\133.jpg,0.999987,Noodles
40,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\134.jpg,0.9999994,Noodles
41,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\135.jpg,0.9998443,Noodles
42,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\136.jpg,0.9049883,Noodles
43,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\137.jpg,0.9999925,Noodles
44,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\138.jpg,0.99891484,Noodles
45,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\139.jpg,0.96011263,Noodles
46,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\14.jpg,0.999967,Noodles
47,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\140.jpg,0.99995923,Noodles
48,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\141.jpg,0.52186966,Noodles
49,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\142.jpg,0.9999851,Noodles
50,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\143.jpg,0.99999905,Noodles
51,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\144.jpg,0.99999964,Noodles
52,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\145.jpg,0.99894184,Noodles
53,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\146.jpg,0.99959856,Noodles
54,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\147.jpg,0.9999995,Noodles
55,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\148.jpg,0.99999964,Noodles
56,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\149.jpg,0.999931,Noodles
57,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\15.jpg,0.97067386,Noodles
58,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\150.jpg,0.996525,Noodles
59,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\151.jpg,0.9999988,Noodles
60,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\152.jpg,0.99910897,Noodles
61,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\153.jpg,0.9999995,Noodles
62,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Noodles\154.jpg,0.9998841,Noodles
