,Images,Max_Probs,Confidence
0,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Vegetable\0.jpg,0.9342464,Vegetable
1,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Vegetable\1.jpg,0.9999976,Vegetable
2,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Vegetable\10.jpg,0.65137523,Fried
3,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Vegetable\100.jpg,0.9999999,Vegetable
4,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Vegetable\101.jpg,0.9999778,Vegetable
5,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Vegetable\102.jpg,0.99999547,Vegetable
6,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Vegetable\103.jpg,0.9999994,Vegetable
7,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Vegetable\104.jpg,0.9986368,Vegetable
8,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Vegetable\105.jpg,0.9999925,Vegetable
9,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Vegetable\106.jpg,0.9999989,Vegetable
10,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Vegetable\107.jpg,0.99860954,Vegetable
11,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Vegetable\108.jpg,0.9999918,Vegetable
12,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Vegetable\109.jpg,0.9999964,Vegetable
13,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Vegetable\11.jpg,0.99995255,Vegetable
14,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Vegetable\110.jpg,0.99974424,Vegetable
15,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Vegetable\111.jpg,0.9999534,Vegetable
16,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Vegetable\112.jpg,0.6806552,Vegetable
17,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Vegetable\113.jpg,0.99999666,Vegetable
18,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Vegetable\114.jpg,0.9999999,Vegetable
19,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Vegetable\115.jpg,0.99814785,Vegetable
20,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Vegetable\116.jpg,1.0,Vegetable
21,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Vegetable\117.jpg,0.99999654,Vegetable
22,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\tensorflow_models_data\training\Vegetable\118.jpg,0.99999905,Vegetable
