,Images,Max_Probs,Confidence
0,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Noodles\0.jpg,0.9998691,Noodles
1,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Noodles\1.jpg,0.9999889,Noodles
2,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Noodles\10.jpg,0.9999013,Noodles
3,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Noodles\100.jpg,0.99995637,Noodles
4,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Noodles\101.jpg,0.9999043,Noodles
5,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Noodles\102.jpg,0.9999447,Noodles
6,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Noodles\103.jpg,0.9999218,Noodles
7,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Noodles\104.jpg,0.9959693,Noodles
8,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Noodles\105.jpg,0.9999844,Noodles
9,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Noodles\106.jpg,0.9998491,Noodles
10,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Noodles\107.jpg,0.9998963,Noodles
11,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Noodles\108.jpg,0.9998894,Noodles
12,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Noodles\109.jpg,0.9999207,Noodles
13,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Noodles\11.jpg,0.9994642,Noodles
14,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Noodles\110.jpg,0.99997544,Noodles
15,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Noodles\111.jpg,0.99998844,Noodles
16,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Noodles\112.jpg,0.99934334,Noodles
17,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Noodles\113.jpg,0.99961686,Noodles
18,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Noodles\114.jpg,0.99998486,Noodles
19,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Noodles\115.jpg,0.99956936,Noodles
20,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Noodles\116.jpg,0.99989545,Noodles
21,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Noodles\117.jpg,0.999684,Noodles
22,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Noodles\118.jpg,0.9999169,Noodles
