,Images,Max_Probs,Confidence
0,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\0.jpg,0.999506,Bread
1,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\1.jpg,0.9997061,Bread
2,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\10.jpg,0.9990397,Bread
3,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\100.jpg,0.99989927,Bread
4,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\101.jpg,0.999585,Bread
5,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\102.jpg,0.99753153,Bread
6,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\103.jpg,0.9947601,Bread
7,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\104.jpg,0.9993693,Bread
8,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\105.jpg,0.9976114,Bread
9,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\106.jpg,0.9995819,Bread
10,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\107.jpg,0.99968386,Bread
11,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\108.jpg,0.99994445,Bread
12,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\109.jpg,0.9996568,Bread
13,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\11.jpg,0.99959487,Bread
14,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\110.jpg,0.99972755,Bread
15,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\111.jpg,0.60014236,Bread
16,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\112.jpg,0.9998375,Bread
17,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\113.jpg,0.998904,Bread
18,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\114.jpg,0.99874973,Bread
19,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\115.jpg,0.9992995,Bread
20,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\116.jpg,0.9999411,Bread
21,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\117.jpg,0.9976107,Bread
22,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\118.jpg,0.9999207,Bread
23,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\119.jpg,0.99950457,Bread
24,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\12.jpg,0.99993443,Bread
25,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\120.jpg,0.9999237,Bread
26,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\121.jpg,0.9974376,Bread
27,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\122.jpg,0.9988305,Bread
28,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\123.jpg,0.9998356,Bread
29,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\124.jpg,0.9999914,Bread
30,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\125.jpg,0.9999174,Bread
31,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\126.jpg,0.99983096,Bread
32,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\127.jpg,0.99979717,Bread
33,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\128.jpg,0.9999659,Bread
34,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\129.jpg,0.9977192,Bread
35,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\13.jpg,0.98977894,Bread
36,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\Bread\130.jpg,0.9995555,Bread
