,Images,Max_Probs,Confidence
0,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\0.jpg,0.99979717,fried
1,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\1.jpg,0.99993205,fried
2,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\10.jpg,0.9997955,fried
3,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\100.jpg,0.9994307,fried
4,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\101.jpg,0.9998122,fried
5,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\102.jpg,0.9994524,fried
6,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\103.jpg,0.9993831,fried
7,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\104.jpg,0.9880193,fried
8,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\105.jpg,0.9989318,fried
9,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\106.jpg,0.9997291,fried
10,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\107.jpg,0.99880075,fried
11,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\108.jpg,0.99865156,fried
12,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\109.jpg,0.9999672,fried
13,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\11.jpg,0.9972716,fried
14,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\110.jpg,0.9998828,fried
15,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\111.jpg,0.996933,fried
16,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\112.jpg,0.99914217,fried
17,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\113.jpg,0.9998969,fried
18,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\114.jpg,0.99970776,fried
19,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\115.jpg,0.988335,fried
20,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\116.jpg,0.99966204,fried
21,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\117.jpg,0.99970883,fried
22,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\118.jpg,0.9998441,fried
23,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\119.jpg,0.99863666,fried
24,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\12.jpg,0.9999368,fried
25,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\120.jpg,0.9999157,fried
26,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\121.jpg,0.99751556,fried
27,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\122.jpg,0.99838996,fried
28,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\123.jpg,0.99714714,fried
29,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\124.jpg,0.9987525,fried
30,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\125.jpg,0.99995244,fried
31,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\126.jpg,0.9988675,fried
32,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\127.jpg,0.9998838,fried
33,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\128.jpg,0.9989322,fried
34,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\129.jpg,0.99953294,fried
35,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\13.jpg,0.9987135,fried
36,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\130.jpg,0.99943906,fried
37,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\131.jpg,0.9838008,fried
38,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\132.jpg,0.99860483,fried
39,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\133.jpg,0.99781007,fried
40,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\134.jpg,0.99953413,fried
41,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\135.jpg,0.9996822,fried
42,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\136.jpg,0.9990539,fried
43,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\137.jpg,0.8486521,fried
44,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\138.jpg,0.999938,fried
45,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\139.jpg,0.99632925,fried
46,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\14.jpg,0.9791311,fried
47,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\140.jpg,0.94610065,fried
48,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\141.jpg,0.9989498,fried
49,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\142.jpg,0.99868983,fried
50,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\143.jpg,0.9432497,fried
51,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\144.jpg,0.9983871,fried
52,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\145.jpg,0.9999074,fried
53,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\146.jpg,0.9994848,fried
54,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\147.jpg,0.99758065,fried
55,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\148.jpg,0.9991411,fried
56,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\149.jpg,0.9973878,fried
57,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\15.jpg,0.9992279,fried
58,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\150.jpg,0.9998541,fried
59,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\151.jpg,0.99984205,fried
60,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\152.jpg,0.9990103,fried
61,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\153.jpg,0.99982065,fried
62,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\154.jpg,0.99987745,fried
63,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\155.jpg,0.9990011,fried
64,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\156.jpg,0.9989281,fried
65,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\157.jpg,0.99663675,fried
66,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\158.jpg,0.9999937,fried
67,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\159.jpg,0.9999379,fried
68,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\16.jpg,0.9999603,fried
69,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\160.jpg,0.9998921,fried
70,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\161.jpg,0.9999871,fried
71,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\162.jpg,0.998692,fried
72,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\163.jpg,0.99981743,fried
73,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\164.jpg,0.9999534,fried
74,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\165.jpg,0.99965835,fried
75,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\166.jpg,0.9806768,fried
76,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\167.jpg,0.99943644,fried
77,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\168.jpg,0.99380374,fried
78,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\169.jpg,0.9949121,fried
79,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\17.jpg,0.99340135,fried
80,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\170.jpg,0.9997899,fried
81,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\171.jpg,0.9989329,fried
82,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\172.jpg,0.99543923,fried
83,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\173.jpg,0.9999306,fried
84,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\174.jpg,0.9994831,fried
85,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\175.jpg,0.99990904,fried
86,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\176.jpg,0.9980229,fried
87,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\177.jpg,0.99973994,fried
88,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\178.jpg,0.9998337,fried
89,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\179.jpg,0.99968207,fried
90,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\18.jpg,0.9975206,fried
91,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\180.jpg,0.9998374,fried
92,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\181.jpg,0.95475477,fried
93,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\182.jpg,0.99647266,fried
94,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\183.jpg,0.9999442,fried
95,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\184.jpg,0.99990857,fried
96,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\185.jpg,0.99235064,fried
97,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\186.jpg,0.9910041,fried
98,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\187.jpg,0.99983156,fried
99,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\188.jpg,0.9980592,fried
100,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\189.jpg,0.999954,fried
101,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\19.jpg,0.99790037,fried
102,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\190.jpg,0.99806064,fried
103,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\191.jpg,0.72055805,fried
104,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\192.jpg,0.99947685,fried
105,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\193.jpg,0.9998466,fried
106,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\194.jpg,0.9998599,fried
107,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\195.jpg,0.963717,fried
108,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\196.jpg,0.9987004,fried
109,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\197.jpg,0.99896526,fried
110,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\198.jpg,0.99911755,fried
111,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\199.jpg,0.99993885,fried
112,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\2.jpg,0.99727625,fried
113,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\20.jpg,0.99052656,fried
114,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\200.jpg,0.9997446,fried
115,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\201.jpg,0.9999306,fried
116,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\202.jpg,0.99987257,fried
117,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\203.jpg,0.9958003,fried
118,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\204.jpg,0.99992216,fried
119,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\205.jpg,0.9993406,fried
120,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\206.jpg,0.9997992,fried
121,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\207.jpg,0.9938345,fried
122,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\208.jpg,0.99988437,fried
123,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\209.jpg,0.9994678,fried
124,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\21.jpg,0.99950445,fried
125,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\210.jpg,0.9999615,fried
126,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\211.jpg,0.99992037,fried
127,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\212.jpg,0.9996086,fried
128,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\213.jpg,0.97499675,fried
129,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\214.jpg,0.99959856,fried
130,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\215.jpg,0.99963415,fried
131,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\216.jpg,0.9992793,fried
132,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\217.jpg,0.99984527,fried
133,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\218.jpg,0.995235,fried
134,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\219.jpg,0.99949276,fried
135,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\22.jpg,0.99984217,fried
136,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\220.jpg,0.9879572,fried
137,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\221.jpg,0.9935049,fried
138,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\222.jpg,0.99854386,fried
139,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\223.jpg,0.9996176,fried
140,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\224.jpg,0.99954176,fried
141,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\225.jpg,0.9994319,fried
142,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\226.jpg,0.9999651,fried
143,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\227.jpg,0.9999231,fried
144,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\228.jpg,0.9999856,fried
145,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\229.jpg,0.9989951,fried
146,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\23.jpg,0.9989472,fried
147,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\230.jpg,0.9987453,fried
148,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\231.jpg,0.9996668,fried
149,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\232.jpg,0.99984574,fried
150,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\233.jpg,0.99747366,fried
151,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\234.jpg,0.9954118,fried
152,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\235.jpg,0.9983474,fried
153,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\236.jpg,0.9999267,fried
154,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\237.jpg,0.9954378,fried
155,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\238.jpg,0.9991886,fried
156,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\239.jpg,0.99980754,fried
157,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\24.jpg,0.9999703,fried
158,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\240.jpg,0.99967563,fried
159,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\241.jpg,0.99997866,fried
160,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\242.jpg,0.9999783,fried
161,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\243.jpg,0.999584,fried
162,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\244.jpg,0.99433446,fried
163,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\245.jpg,0.9989147,fried
164,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\246.jpg,0.99955565,fried
165,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\247.jpg,0.99973494,fried
166,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\248.jpg,0.99793005,fried
167,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\249.jpg,0.9980794,fried
168,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\25.jpg,0.9985536,fried
169,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\250.jpg,0.99867517,fried
170,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\251.jpg,0.9967013,fried
171,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\252.jpg,0.9986802,fried
172,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\253.jpg,0.99405885,fried
173,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\254.jpg,0.99872893,fried
174,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\255.jpg,0.999529,fried
175,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\256.jpg,0.9999876,fried
176,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\257.jpg,0.99062365,fried
177,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\258.jpg,0.9999906,fried
178,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\259.jpg,0.99132204,fried
179,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\26.jpg,0.9998254,fried
180,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\260.jpg,0.99795216,fried
181,C:\Users\adity\Desktop\Everything\Waste_Segregation\classify_food\yolov_train_data\train\fried\261.jpg,0.9998784,fried
