epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.7588,1.01026,0.80787,1,0.96391,0.000236727,0.000236727,0.000236727
2,29.8093,0.59625,0.85005,1,0.93288,0.000472377,0.000472377,0.000472377
3,43.5499,0.62416,0.81818,1,0.9489,0.000705671,0.000705671,0.000705671
4,57.5227,0.65427,0.81818,1,0.93678,0.000703397,0.000703397,0.000703397
5,70.9448,0.63628,0.82568,1,0.93476,0.000699863,0.000699863,0.000699863
6,84.212,0.58344,0.8135,1,0.95551,0.000696328,0.000696328,0.000696328
7,97.979,0.58143,0.86692,1,0.92732,0.000692794,0.000692794,0.000692794
8,111.943,0.56674,0.86973,1,0.91278,0.00068926,0.00068926,0.00068926
9,125.96,0.55278,0.85192,1,0.92683,0.000685726,0.000685726,0.000685726
10,139.742,0.52346,0.86036,1,0.92749,0.000682191,0.000682191,0.000682191
11,153.068,0.46268,0.85567,1,0.91926,0.000678657,0.000678657,0.000678657
12,166.237,0.45691,0.87254,1,0.89917,0.000675123,0.000675123,0.000675123
13,180.385,0.42788,0.8716,1,0.89984,0.000671588,0.000671588,0.000671588
14,194.303,0.44474,0.85942,1,0.91293,0.000668054,0.000668054,0.000668054
15,208.356,0.44046,0.87254,1,0.8945,0.00066452,0.00066452,0.00066452
16,221.781,0.4188,0.8716,1,0.89144,0.000660986,0.000660986,0.000660986
17,235.01,0.37578,0.87067,1,0.90332,0.000657451,0.000657451,0.000657451
18,248.395,0.38305,0.88754,1,0.89074,0.000653917,0.000653917,0.000653917
19,262.622,0.35954,0.88566,1,0.87702,0.000650383,0.000650383,0.000650383
20,275.379,0.34877,0.89784,1,0.86779,0.000646848,0.000646848,0.000646848
21,289.019,0.34496,0.88004,1,0.89264,0.000643314,0.000643314,0.000643314
22,302.958,0.33141,0.87723,1,0.88178,0.00063978,0.00063978,0.00063978
23,316.726,0.33183,0.88379,1,0.87244,0.000636245,0.000636245,0.000636245
24,330.185,0.35009,0.90909,1,0.85784,0.000632711,0.000632711,0.000632711
25,343.823,0.33463,0.88472,1,0.88464,0.000629177,0.000629177,0.000629177
26,356.935,0.31028,0.87723,1,0.87572,0.000625642,0.000625642,0.000625642
27,370.105,0.31946,0.89222,1,0.89176,0.000622108,0.000622108,0.000622108
28,384.708,0.28767,0.89503,1,0.87491,0.000618574,0.000618574,0.000618574
29,398.721,0.29829,0.88754,1,0.87165,0.00061504,0.00061504,0.00061504
30,411.911,0.29888,0.89597,1,0.86028,0.000611505,0.000611505,0.000611505
31,425.655,0.29399,0.90815,1,0.86136,0.000607971,0.000607971,0.000607971
