epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.9362,1.0396,0.77694,1,1.00369,0.000236727,0.000236727,0.000236727
2,27.807,0.63992,0.80787,1,0.96078,0.000470027,0.000470027,0.000470027
3,40.7901,0.62316,0.82006,1,0.94902,0.000698615,0.000698615,0.000698615
4,54.1753,0.65189,0.81443,1,0.95083,0.000692794,0.000692794,0.000692794
5,66.8355,0.61869,0.81537,1,0.94978,0.000685726,0.000685726,0.000685726
6,79.2908,0.57497,0.81724,1,0.95021,0.000678657,0.000678657,0.000678657
7,92.4251,0.55224,0.83411,1,0.92883,0.000671588,0.000671588,0.000671588
8,105.542,0.54868,0.86317,1,0.92673,0.00066452,0.00066452,0.00066452
9,118.588,0.53239,0.88004,1,0.90517,0.000657451,0.000657451,0.000657451
10,131.627,0.49365,0.86223,1,0.9187,0.000650383,0.000650383,0.000650383
11,144.117,0.4758,0.8313,1,0.93605,0.000643314,0.000643314,0.000643314
12,156.337,0.45722,0.86785,1,0.90624,0.000636245,0.000636245,0.000636245
13,169.387,0.4141,0.86785,1,0.90763,0.000629177,0.000629177,0.000629177
14,182.537,0.43311,0.86223,1,0.90545,0.000622108,0.000622108,0.000622108
15,195.748,0.41177,0.8791,1,0.88985,0.00061504,0.00061504,0.00061504
16,208.11,0.39408,0.87535,1,0.89732,0.000607971,0.000607971,0.000607971
17,220.638,0.37261,0.88566,1,0.89779,0.000600902,0.000600902,0.000600902
18,232.957,0.36389,0.85098,1,0.90763,0.000593834,0.000593834,0.000593834
19,245.92,0.33833,0.87535,1,0.8783,0.000586765,0.000586765,0.000586765
20,257.855,0.33807,0.88097,1,0.87869,0.000579697,0.000579697,0.000579697
21,270.472,0.31379,0.86504,1,0.88729,0.000572628,0.000572628,0.000572628
22,283.218,0.32625,0.8941,1,0.86791,0.000565559,0.000565559,0.000565559
23,296.444,0.31734,0.89784,1,0.86398,0.000558491,0.000558491,0.000558491
24,309.054,0.31678,0.88191,1,0.87418,0.000551422,0.000551422,0.000551422
25,321.704,0.31199,0.87723,1,0.87803,0.000544354,0.000544354,0.000544354
26,334.185,0.29305,0.88847,1,0.87471,0.000537285,0.000537285,0.000537285
27,346.615,0.28725,0.89128,1,0.87065,0.000530216,0.000530216,0.000530216
28,360.291,0.30665,0.89222,1,0.87175,0.000523148,0.000523148,0.000523148
29,373.559,0.29686,0.88472,1,0.87829,0.000516079,0.000516079,0.000516079
30,386.054,0.27043,0.90159,1,0.86078,0.000509011,0.000509011,0.000509011
31,398.942,0.27072,0.88754,1,0.86677,0.000501942,0.000501942,0.000501942
32,412.346,0.27136,0.88004,1,0.86845,0.000494873,0.000494873,0.000494873
33,424.609,0.27934,0.88754,1,0.8757,0.000487805,0.000487805,0.000487805
34,437.659,0.25398,0.90722,1,0.85376,0.000480736,0.000480736,0.000480736
35,450.159,0.25805,0.90815,1,0.85166,0.000473668,0.000473668,0.000473668
